

component    valor_propi     variansssa_explicada_per_component (tant per cent)
   1          5600.75                24.14
   2          1362.82                 5.87
   3          1045.82                 4.51
   4           944.49                 4.07
   5           814.38                 3.51
   6           706.29                 3.04
   7           671.48                 2.89
   8           637.75                 2.75
   9           549.98                 2.37
   10           511.35                 2.20
   11           484.65                 2.09
   12           447.81                 1.93
   13           425.06                 1.83
   14           415.97                 1.79
   15           402.31                 1.73
   16           395.74                 1.71
   17           374.23                 1.61
   18           347.92                 1.50
   19           332.59                 1.43
   20           322.22                 1.39
   21           310.61                 1.34
   22           308.14                 1.33
   23           297.67                 1.28
   24           290.14                 1.25
   25           286.97                 1.24
   26           267.30                 1.15
   27           245.79                 1.06
   28           236.83                 1.02
   29           232.95                 1.00
   30           224.82                 0.97
   31           219.78                 0.95
   32           212.81                 0.92
   33           204.10                 0.88
   34           198.79                 0.86
   35           192.61                 0.83
   36           183.18                 0.79
   37           178.76                 0.77
   38           169.06                 0.73
   39           164.80                 0.71
   40           162.07                 0.70
   41           153.01                 0.66
   42           147.82                 0.64
   43           143.76                 0.62
   44           140.25                 0.60
   45           132.66                 0.57
   46           129.19                 0.56
   47           116.78                 0.50
   48           113.89                 0.49
   49           111.00                 0.48
   50           107.59                 0.46
   51           101.39                 0.44
   52            99.97                 0.43
   53            92.24                 0.40
   54            83.31                 0.36
   55            79.72                 0.34
   56            64.62                 0.28
   57             0.00                 0.00

**** Varianssa de les dades
explicada amb 57retinguts: 100.00
