RID "Participant roster ID" 
 COLPROT "Study protocol of data collection" 
 ORIGPROT "Original study protocol" 
 PTID "Original study protocol" 
 SITE "Site" 
 VISCODE "Visit code" 
 EXAMDATE "Date" 
 DX.bl "Baseline Dx" 
 AGE "Age" 
 PTGENDER "Sex" 
 PTEDUCAT "Education" 
 PTETHCAT "Ethnicity" 
 PTRACCAT "Race" 
 PTMARRY "Marital" 
 APOE4 "ApoE4" 
 FDG "Average FDG-PET of angular, temporal, and posterior cingulate" 
 PIB "Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex" 
 AV45 "Reference region - florbetapir mean of whole cerebellum.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details" 
 ABETA "CSF ABETA" 
 TAU "CSF TAU" 
 PTAU "CSF PTAU" 
 CDRSB "CDR-SB" 
 ADAS11 "ADAS 11" 
 ADAS13 "ADAS 13" 
 ADASQ4 "ADAS Delayed Word Recall" 
 MMSE "MMSE" 
 RAVLT.mm "RAVLT Immediate (sum of 5 trials)" 
 RAVLT.lr "RAVLT Learning (trial 5 - trial 1)" 
 RAVLT.fr "RAVLT Forgetting (trial 5 - delayed)" 
 RAVLT.p. "RAVLT Percent Forgetting" 
 LDELTOT "Logical Memory - Delayed Recall" 
 DIGIT "Digit Symbol Substitution" 
 TRAB "Trails B" 
 FAQ "FAQ" 
 MOCA "MOCA" 
 EcogPtMm "Pt ECog - Mem" 
 EcgPtLng "Pt ECog - Lang" 
 EcgPtVss "Pt ECog - Vis/Spat" 
 EcgPtPln "Pt ECog - Plan" 
 EcgPtOrg "Pt ECog - Organ" 
 EcgPtDvt "Pt ECog - Div atten" 
 EcgPtTtl "Pt ECog - Total" 
 EcogSPMm "SP ECog - Mem" 
 EcgSPLng "SP ECog - Lang" 
 EcgSPVss "SP ECog - Vis/Spat" 
 EcgSPPln "SP ECog - Plan" 
 EcgSPOrg "SP ECog - Organ" 
 EcgSPDvt "SP ECog - Div atten" 
 EcgSPTtl "SP ECog - Total" 
 FLDSTR "MRI Field Strength" 
 FSVER "FreeSurfer Software Version" 
 IMAGEUID "LONI Image ID" 
 Ventrcls "UCSF Ventricles" 
 Hippcmps "UCSF Hippocampus" 
 WholeBrn "UCSF WholeBrain" 
 Entorhnl "UCSF Entorhinal" 
 Fusiform "UCSF Fusiform" 
 MidTemp "UCSF Med Temp" 
 ICV "UCSF ICV" 
 DX "Diagnosis" 
 mPACCdgt "ADNI modified Preclinical Alzheimer's Cognitive Composite (PACC) with Digit Symbol Substitution" 
 mPACCtrB "ADNI modified Preclinical Alzheimer's Cognitive Composite (PACC) with Trails B" 
 EXAMDTbl "Date" 
 CDRSB.bl "CDR-SB" 
 ADAS11.b "ADAS 11" 
 ADAS13.b "ADAS 13" 
 ADASQ4.b "ADAS Delayed Word Recall" 
 MMSE.bl "MMSE" 
 RAVLT.m. "RAVLT Immediate (sum of 5 trials)" 
 RAVLT.l. "RAVLT Learning (trial 5 - trial 1)" 
 RAVLT.f. "RAVLT Forgetting (trial 5 - delayed)" 
 RAVLT... "RAVLT Percent Forgetting" 
 LDELTOT. "Logical Memory - Delayed Recall" 
 DIGIT.bl "Digit Symbol Substitution" 
 TRAB.bl "Trails B" 
 FAQ.bl "FAQ" 
 mPACCdg. "ADNI modified Preclinical Alzheimer's Cognitive Composite (PACC) with Digit Symbol Substitution" 
 mPACCtB. "ADNI modified Preclinical Alzheimer's Cognitive Composite (PACC) with Trails B" 
 FLDSTR.b "MRI Field Strength" 
 FSVER.bl "FreeSurfer Software Version" 
 V1 "IMAGEUID.bl" 
 Vntrcls. "UCSF Ventricles" 
 Hppcmps. "UCSF Hippocampus" 
 WhlBrn.b "UCSF WholeBrain" 
 Entrhnl. "UCSF Entorhinal" 
 Fsfrm.bl "UCSF Fusiform" 
 MdTmp.bl "UCSF Med Temp" 
 ICV.bl "UCSF ICV" 
 MOCA.bl "MOCA" 
 EcgPtMm. "Pt ECog - Mem" 
 EcgPtLn. "Pt ECog - Lang" 
 EcgPtVs. "Pt ECog - Vis/Spat" 
 EcgPtPl. "Pt ECog - Plan" 
 EcgPtOr. "Pt ECog - Organ" 
 EcgPtDv. "Pt ECog - Div atten" 
 EcgPtTt. "Pt ECog - Total" 
 EcgSPMm. "SP ECog - Mem" 
 EcgSPLn. "SP ECog - Lang" 
 EcgSPVs. "SP ECog - Vis/Spat" 
 EcgSPPl. "SP ECog - Plan" 
 EcgSPOr. "SP ECog - Organ" 
 EcgSPDv. "SP ECog - Div atten" 
 EcgSPTt. "SP ECog - Total" 
 ABETA.bl "CSF ABETA" 
 TAU.bl "CSF TAU" 
 PTAU.bl "CSF PTAU" 
 FDG.bl "Average FDG-PET of angular, temporal, and posterior cingulate" 
 PIB.bl "Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex" 
 AV45.bl "Reference region - florbetapir mean of whole cerebellum.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details" 
 Years.bl "asd 1" 
 Month.bl "asd 2" 
 Month "Months since baseline" 
 M "Month since baseline"
